site_id,activity_name,functional_unit,Amount,Activity,Product,Unit,Location,Database
BC-MAIN-857b7b89,"Au, UG mining and beneficiation at Brucejack","Au, usable ore",0.020482948917490716,consumption market for acetylene,acetylene,kilogram,CA,Regioinvent
BC-MAIN-857b7b89,"Au, UG mining and beneficiation at Brucejack","Au, usable ore",1.8694211350781098,consumption market for kerosene,kerosene,kilogram,CA,Regioinvent
BC-MAIN-857b7b89,"Au, UG mining and beneficiation at Brucejack","Au, usable ore",7.400659255633993,consumption market for diesel,diesel,kilogram,CA,Regioinvent
BC-MAIN-857b7b89,"Au, UG mining and beneficiation at Brucejack","Au, usable ore",0.3387973531315865,consumption market for diesel,diesel,kilogram,CA,Regioinvent
BC-MAIN-857b7b89,"Au, UG mining and beneficiation at Brucejack","Au, usable ore",1.0052128253590524,consumption market for propane,propane,kilogram,CA,Regioinvent
BC-MAIN-857b7b89,"Au, UG mining and beneficiation at Brucejack","Au, usable ore",2.598692352507174,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
BC-MAIN-857b7b89,"Au, UG mining and beneficiation at Brucejack","Au, usable ore",175.23068913585445,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-BC,ecoinvent-3.10-cutoff regionalized
BC-MAIN-857b7b89,"Au, UG mining and beneficiation at Brucejack","Au, usable ore",95.5930975675761,consumption market for diesel,diesel,kilogram,CA,Regioinvent
QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic","Au, usable ore",31.490679590874766,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-QC,ecoinvent-3.10-cutoff regionalized
QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic","Ag, usable ore",0.4086609253024489,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-QC,ecoinvent-3.10-cutoff regionalized
QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic","Au, usable ore",2.777074887026433,consumption market for diesel,diesel,kilogram,CA,Regioinvent
QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic","Ag, usable ore",0.036038663112728686,consumption market for diesel,diesel,kilogram,CA,Regioinvent
QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic","Au, usable ore",0.04503804738315389,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic","Au, usable ore",0.04503804738315389,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic","Ag, usable ore",0.0005844678602220009,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic","Ag, usable ore",0.0005844678602220009,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic","Au, usable ore",0.21592807127464245,"consumption market for natural gas, high pressure","natural gas, high pressure",cubic meter,CA,Regioinvent
QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic","Ag, usable ore",0.002802142302176252,"consumption market for natural gas, high pressure","natural gas, high pressure",cubic meter,CA,Regioinvent
QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic","Au, usable ore",0.0014726218194177885,consumption market for propane,propane,kilogram,CA,Regioinvent
QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic","Ag, usable ore",1.9110511527932772e-05,consumption market for propane,propane,kilogram,CA,Regioinvent
QC-MAIN-b86f7d07,"Au and Ag, OP and UG mining and beneficiation at Casa Berardi","Au, usable ore",3.2564649686673173,consumption market for diesel,diesel,kilogram,CA,Regioinvent
QC-MAIN-b86f7d07,"Au and Ag, OP and UG mining and beneficiation at Casa Berardi","Ag, usable ore",0.04225980526937332,consumption market for diesel,diesel,kilogram,CA,Regioinvent
QC-MAIN-b86f7d07,"Au and Ag, OP and UG mining and beneficiation at Casa Berardi","Au, usable ore",0.1492001269682794,consumption market for diesel,diesel,kilogram,CA,Regioinvent
QC-MAIN-b86f7d07,"Au and Ag, OP and UG mining and beneficiation at Casa Berardi","Ag, usable ore",0.001936200257798444,consumption market for diesel,diesel,kilogram,CA,Regioinvent
QC-MAIN-b86f7d07,"Au and Ag, OP and UG mining and beneficiation at Casa Berardi","Au, usable ore",0.3413180602968983,consumption market for propane,propane,kilogram,CA,Regioinvent
QC-MAIN-b86f7d07,"Au and Ag, OP and UG mining and beneficiation at Casa Berardi","Ag, usable ore",0.004429353578758156,consumption market for propane,propane,kilogram,CA,Regioinvent
QC-MAIN-b86f7d07,"Au and Ag, OP and UG mining and beneficiation at Casa Berardi","Au, usable ore",50.92855887135359,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-QC,ecoinvent-3.10-cutoff regionalized
QC-MAIN-b86f7d07,"Au and Ag, OP and UG mining and beneficiation at Casa Berardi","Ag, usable ore",0.6609102205186631,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-QC,ecoinvent-3.10-cutoff regionalized
BC-MAIN-599152a0,"Au and Ag and Cu, OP mining and beneficiation at Copper Mountain","Au, usable ore",0.6489707647294173,consumption market for diesel,diesel,kilogram,CA,Regioinvent
BC-MAIN-599152a0,"Au and Ag and Cu, OP mining and beneficiation at Copper Mountain","Ag, usable ore",0.008421825017882838,consumption market for diesel,diesel,kilogram,CA,Regioinvent
BC-MAIN-599152a0,"Au and Ag and Cu, OP mining and beneficiation at Copper Mountain","Cu, usable ore",8.645737078153272e-05,consumption market for diesel,diesel,kilogram,CA,Regioinvent
BC-MAIN-599152a0,"Au and Ag and Cu, OP mining and beneficiation at Copper Mountain","Au, usable ore",0.0028568532845377713,consumption market for diesel,diesel,kilogram,CA,Regioinvent
BC-MAIN-599152a0,"Au and Ag and Cu, OP mining and beneficiation at Copper Mountain","Ag, usable ore",3.707396353081102e-05,consumption market for diesel,diesel,kilogram,CA,Regioinvent
BC-MAIN-599152a0,"Au and Ag and Cu, OP mining and beneficiation at Copper Mountain","Cu, usable ore",3.805965339481886e-07,consumption market for diesel,diesel,kilogram,CA,Regioinvent
BC-MAIN-599152a0,"Au and Ag and Cu, OP mining and beneficiation at Copper Mountain","Au, usable ore",0.07517710906078919,consumption market for propane,propane,kilogram,CA,Regioinvent
BC-MAIN-599152a0,"Au and Ag and Cu, OP mining and beneficiation at Copper Mountain","Ag, usable ore",0.0009755885661879367,consumption market for propane,propane,kilogram,CA,Regioinvent
BC-MAIN-599152a0,"Au and Ag and Cu, OP mining and beneficiation at Copper Mountain","Cu, usable ore",1.0015266550662464e-05,consumption market for propane,propane,kilogram,CA,Regioinvent
BC-MAIN-599152a0,"Au and Ag and Cu, OP mining and beneficiation at Copper Mountain","Au, usable ore",188.42825650960629,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-BC,ecoinvent-3.10-cutoff regionalized
BC-MAIN-599152a0,"Au and Ag and Cu, OP mining and beneficiation at Copper Mountain","Ag, usable ore",2.4452716377914117,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-BC,ecoinvent-3.10-cutoff regionalized
BC-MAIN-599152a0,"Au and Ag and Cu, OP mining and beneficiation at Copper Mountain","Cu, usable ore",0.025102843647450256,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-BC,ecoinvent-3.10-cutoff regionalized
ON-MAIN-aeafbb59,"Au and Ag, OP mining and beneficiation at Detour Lake","Au, usable ore",39.3766923008116,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-ON,ecoinvent-3.10-cutoff regionalized
ON-MAIN-aeafbb59,"Au and Ag, OP mining and beneficiation at Detour Lake","Ag, usable ore",0.5109993090038768,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-ON,ecoinvent-3.10-cutoff regionalized
ON-MAIN-aeafbb59,"Au and Ag, OP mining and beneficiation at Detour Lake","Au, usable ore",4.3496956730653125,consumption market for diesel,diesel,kilogram,CA,Regioinvent
ON-MAIN-aeafbb59,"Au and Ag, OP mining and beneficiation at Detour Lake","Ag, usable ore",0.056446881478354013,consumption market for diesel,diesel,kilogram,CA,Regioinvent
