Commodity,Climate change ST (kg CO2 eq (short)),Land occupation biodiversity (m2 arable land eq .yr),Land transformation biodiversity (m2 arable land eq),Particulate matter formation (kg PM2.5 eq),Water scarcity (m3 world-eq)
Copper Mountain,1.3329820311124083,0.13119694589446507,0.010961051918393583,0.03188917498002937,0.0
Gibraltar (Cu),0.8297693636480235,0.07468508920020822,0.006239681811391451,0.0026711012171082467,1.2351246663250777
Highland Valley (Cu),0.7024709229093358,0.11537375566645025,0.009639078927920597,0.019029648263674287,2.545259443096029
Mount Milligan,0.8766181260187994,0.08485326299916718,0.007089197381917156,0.00020661537216819844,3.7206058738645993
Mount Polley,1.3048362100299449,0.11005584327052897,0.009194786269445032,0.012500329485395395,0.0
Goldex (Cu),0.4334359904647461,0.025054192863157576,0.0020931913372541633,8.5625529881986e-05,0.8642261077960498
Kidd Creek,0.3304928031223477,0.025391078786431986,0.0021213369946735394,0.0011137763205894104,0.0
LaRonde (Cu),0.5728071972859065,0.039909052705826564,0.003334263564541917,0.0005911046096336143,0.4407278022276415
New Afton,0.24730120971798897,0.043486584443073184,0.003633154300962227,0.00037646054988726974,1.6583858187907623
Snow Lake (Cu),0.07445795375994921,0.006224412153809089,0.0005200281635093507,0.0006819182296618834,0.0
Casa Berardi,10496.43699157933,1110.4623827973774,92.77530518426283,7.856122164024555,0.0
Hemlo,6303.78264558822,492.6520422708563,41.15937963195029,8.02574139955739,338.4690794833732
Meliadine,11492.47615113317,0.0,0.0,33.74885995865236,1400.075842781982
Rainy River,18111.74393092623,1781.5195883594424,148.83982273287984,30.529852288979203,30057.03315645852
Meadowbank complex,14748.349789079888,272.39035273260924,22.75727445852226,46.14995237754408,6055.13961678429
Porcupine complex,14118.662018616122,1264.0852022969193,105.60996692864865,21.459888258145554,45438.639774698764
Canadian Malartic,7244.0451143273,412.533135875492,34.46572122586076,25.140251722762244,17008.88491612149
Detour Lake,12873.562383150935,269.4859136524974,22.514618586915276,28.8949921061203,10022.145811736933
Kiena,3508.1142376370317,1772.9969544852065,148.12777000456117,0.08761060121763786,2571.675625092583
Brucejack,30316.59667558223,0.0,0.0,17.19293975014864,0.0
Eagle River,4686.729531069479,80.02717664912325,6.685994401082326,27.133802581952132,403.87228551679436
Éléonore,4936.242121920548,117.58953270402799,9.824200047967679,200.43718889031996,4967.915461769211
Goldex (Au),3253.4795204953725,188.06305964431886,15.712020856558865,0.642726774744605,6487.098762374371
Island,5423.198041026726,0.0,0.0,83.17660531333192,0.0
LaRonde (Doré),4299.634761946009,299.5673722036099,25.027820336750665,4.436979882767007,3308.2138523883477
Macassa,3852.318930636276,503.83513657874573,42.09368700066625,19.88486121555952,16164.579564786167
Musselwhite,6764.619480250042,170.84707024434465,14.27368389589219,36.1775722698678,3758.953868409677
Red Lake,10839.481319376402,1080.561617148851,90.27719769705436,158.60775131039676,27393.254587631905
Seabee Gold Operation,22766.0,264.6017873774599,22.10656787932203,8.428189775524055,9168.894912737596
Snow Lake (Doré),558.9001290717498,46.722002055814755,3.90346224005782,5.118649809264866,0.0
Timmins Operation,26527.922233700094,218.57935311985784,18.26155176580596,11.01298520602667,13576.570315099787
Westwood-Doyon,4710.938942343201,1108.1924726373836,92.58565880602328,6.870580943183919,0.0
Nunavik Nickel,0.379873863141224,0.0,0.0,0.001090220370034908,0.0
Thompson,0.4787638716775735,0.0953987574751558,0.00797023757788895,0.0014353787002354236,0.0
Voisey's Bay,2.098657144112916,0.03573259363781278,0.0029853351513392523,0.007751247907175324,0.0
Raglan,1.081684881813265,0.010291287433957241,0.0008598015719374075,0.003141189278395018,0.0
Gibraltar (Mo),3.5162978850793363,0.3164916100495674,0.026441781686590282,0.01131927480374042,5.2340647491110985
Highland Valley (Mo),2.976847749036868,0.48891720144711215,0.04084734420634284,0.08064157838727425,10.785998047241947
Kidd Creek (Zn),0.12354273112031759,0.00949153310416867,0.0007929848427233321,0.0004163448218189817,0.0
LaRonde (Zn),0.21412317115163013,0.014918550267106756,0.001246393440635707,0.00022096300682709002,0.16475009325246326
Snow Lake (Zn),0.027833402219476222,0.0023267704835412684,0.00019439365197199132,0.0002549103922608268,0.0
Key Lake + McArthur River,8.630675614616296,1.066967769359799,0.08914147544630424,0.009183670766666558,0.0
Cigar Lake + McClean Lake,4.555105059107259,0.39412952682321034,0.03292816392279896,0.0072000896150174985,0.0
